id,marketing_channel,account_creation_method,account_creation_date,country_code,loyalty_program
QG85178,affiliate,Website Sign-Up,2024-01-08 02:16:28,FR,0
YW16375,email,Mobile App Sign-Up,2022-10-22 04:23:21,IN,1
YS15894,affiliate,Website Sign-Up,2024-05-05 19:33:55,US,0
DA90491,direct,Website Sign-Up,2021-06-15 23:13:37,GB,1
EM63729,social media,TV App Sign-Up,2021-07-17 05:22:24,CA,1
AJ81871,email,Mobile App Sign-Up,2021-02-03 05:51:31,DE,1
PZ97675,other,Website Sign-Up,2022-06-10 12:36:56,IN,1
BB19042,affiliate,Tablet App Sign-Up,2024-03-12 06:03:07,GB,1
IR24826,email,TV App Sign-Up,2022-01-28 14:00:52,IN,0
CE50599,direct,Website Sign-Up,2024-04-07 04:56:14,GB,1
SQ31882,direct,TV App Sign-Up,2021-09-24 05:42:37,AU,0
QE33293,other,Website Sign-Up,2021-06-28 19:24:59,CA,1
IG55999,email,TV App Sign-Up,2022-06-11 06:22:53,CA,0
CX88905,email,TV App Sign-Up,2021-11-07 03:24:42,US,1
LY73449,direct,Tablet App Sign-Up,2021-08-14 20:55:21,DE,0
RH21588,direct,Website Sign-Up,2024-07-31 19:05:04,US,1
JD17848,email,Mobile App Sign-Up,2022-01-13 19:44:25,US,1
QS71155,direct,TV App Sign-Up,2024-08-14 04:47:37,CA,1
YO29164,direct,TV App Sign-Up,2021-04-04 01:01:18,FR,0
XR85021,affiliate,Website Sign-Up,2023-01-04 01:19:00,GB,0
SB85828,email,TV App Sign-Up,2021-10-10 17:03:59,AU,1
WA14591,email,TV App Sign-Up,2022-02-24 04:42:43,BR,0
YI51628,direct,Website Sign-Up,2021-09-04 06:49:09,JP,0
OO97530,direct,Tablet App Sign-Up,2023-09-02 10:29:37,FR,1
XZ30269,direct,Tablet App Sign-Up,2024-05-17 22:10:50,GB,1
HS59425,email,TV App Sign-Up,2021-08-28 00:31:34,MX,1
ON87871,social media,TV App Sign-Up,2023-01-16 17:05:10,CA,0
HD74396,email,TV App Sign-Up,2022-05-26 22:46:16,US,0
ME47495,email,Tablet App Sign-Up,2023-02-11 08:45:20,DE,0
XU52926,affiliate,TV App Sign-Up,2023-02-04 01:41:22,CA,1
JU48326,direct,Website Sign-Up,2021-07-07 18:08:08,BR,1
CU36379,direct,Tablet App Sign-Up,2021-08-12 17:34:38,IN,1
GI94712,affiliate,Website Sign-Up,2024-03-07 00:11:43,DE,1
JL84030,direct,TV App Sign-Up,2023-01-21 10:47:22,MX,0
VU15404,direct,Tablet App Sign-Up,2023-06-05 22:19:21,US,0
XO49206,email,TV App Sign-Up,2022-11-04 11:42:14,US,1
NH77170,affiliate,TV App Sign-Up,2021-09-08 07:31:57,CA,1
XE91180,email,TV App Sign-Up,2023-02-10 07:15:54,AU,0
NA84116,affiliate,Website Sign-Up,2023-01-07 09:56:50,#VALUE!,1
AG36386,social media,TV App Sign-Up,2021-05-23 13:24:28,US,0
KO17648,email,Mobile App Sign-Up,2024-03-01 03:23:20,CA,1
DL43047,direct,Mobile App Sign-Up,2023-03-31 21:19:56,CA,1
FC50574,email,Tablet App Sign-Up,2024-01-28 18:48:29,CA,1
UU73198,direct,Tablet App Sign-Up,2023-01-28 06:44:30,DE,0
XY50887,direct,Website Sign-Up,2022-01-23 07:17:31,GB,0
FE16557,affiliate,Tablet App Sign-Up,2021-07-02 23:43:56,FR,0
EV84570,affiliate,Tablet App Sign-Up,2022-06-23 23:21:23,BR,1
ZC44867,direct,Tablet App Sign-Up,2021-08-30 22:23:45,FR,1
TO51474,email,Website Sign-Up,2024-03-03 02:30:35,CA,1
GC73918,email,Website Sign-Up,2023-03-06 21:48:00,CA,1
DG32849,other,Website Sign-Up,2021-09-30 04:45:29,CA,1
JT62076,affiliate,TV App Sign-Up,2022-06-16 02:29:04,#VALUE!,1
GZ87241,direct,Mobile App Sign-Up,2024-08-05 05:04:47,BR,1
SN62996,affiliate,TV App Sign-Up,2022-04-09 23:01:26,MX,1
OW92684,direct,Tablet App Sign-Up,2023-02-19 05:08:24,IN,0
RX42202,affiliate,TV App Sign-Up,2023-01-01 13:03:41,JP,0
JL48437,direct,Mobile App Sign-Up,2024-05-19 22:51:35,CA,1
IW52645,direct,Website Sign-Up,2022-05-30 04:12:30,#VALUE!,0
