customer_id,id,purchase_date,sku_number,product_name,currency_code,price_local,price_usd,purchase_platform
QG85178,JG5145806,2024-02-07 09:19:57,POCB-006,Premium Organic Coffee Beans,EUR,14.53636364,15.99,website
YW16375,UG1043771,2022-11-11 11:18:57,PSC-004,Portable Solar Charger,INR,4165.833333,49.99,mobile app
YS15894,NI7218587,2024-06-04 07:43:33,SSWB-005,Stainless Steel Insulated Water Bottle,USD,19.99,19.99,mobile app
DA90491,AM8983792,2021-07-07 15:06:38,PSC-004,Portable Solar Charger,GBP,38.45384615,49.99,website
EM63729,GX6983016,2021-08-16 22:57:45,FTS-009,Fitness Tracker Smartwatch,CAD,106.6533333,79.99,website
AJ81871,WC7497814,2021-02-24 01:38:34,FTS-009,Fitness Tracker Smartwatch,EUR,72.71818182,79.99,website
PZ97675,TV6361026,2022-06-28 14:27:05,SHH-001,SmartHome Assistant Hub,INR,8332.5,99.99,website
BB19042,JV5504780,2024-04-11 00:17:03,SHH-001,SmartHome Assistant Hub,GBP,76.91538462,99.99,mobile app
IR24826,DR6454416,2022-02-16 15:45:57,EYM-002,Eco-Friendly Yoga Mat,INR,2499.166667,29.99,website
CE50599,CU9695173,2024-04-28 16:38:35,FTS-009,Fitness Tracker Smartwatch,GBP,61.53076923,79.99,website
SQ31882,PX1520092,2021-10-11 22:04:54,EYM-002,Eco-Friendly Yoga Mat,AUD,42.84285714,29.99,website
QE33293,BT3867858,2021-07-14 20:54:52,SHH-001,SmartHome Assistant Hub,CAD,133.32,99.99,website
IG55999,LP9142015,2022-06-23 11:58:21,WNCH-003,Wireless Noise-Canceling Headphones,CAD,119.9866667,89.99,website
CX88905,KP3388249,2021-11-22 23:03:25,SHH-001,SmartHome Assistant Hub,USD,99.99,99.99,website
LY73449,VK2674300,2021-09-10 09:47:12,PSC-004,Portable Solar Charger,EUR,45.44545455,49.99,website
RH21588,MP2566110,2024-08-22 18:42:05,SSWB-005,Stainless Steel Insulated Water Bottle,USD,19.99,19.99,website
JD17848,EC4855643,2022-01-28 07:40:18,WNCH-003,Wireless Noise-Canceling Headphones,USD,89.99,89.99,mobile app
QS71155,NK3285872,2024-08-30 19:44:23,WNCH-003,Wireless Noise-Canceling Headphones,CAD,119.9866667,89.99,website
YO29164,CZ8465607,2021-04-22 03:16:18,SHH-001,SmartHome Assistant Hub,EUR,90.9,99.99,website
XR85021,UJ7668271,2023-01-28 23:27:47,FTS-009,Fitness Tracker Smartwatch,GBP,61.53076923,79.99,website
SB85828,YY3147738,2021-11-07 17:14:39,PSC-004,Portable Solar Charger,AUD,71.41428571,49.99,website
WA14591,QN9053239,2022-03-25 23:25:58,SHH-001,SmartHome Assistant Hub,BRL,555.5,99.99,website
YI51628,FZ4414458,2021-09-25 06:27:37,PSC-004,Portable Solar Charger,JPY,7461.19403,49.99,website
OO97530,ZZ6994381,2023-09-16 18:17:02,SSWB-005,Stainless Steel Insulated Water Bottle,EUR,18.17272727,19.99,website
